Description: CO2 (13K)
      freq [cm-1]    absorbance      imag pt (k)       real pt (n)
---------------------------------------------------------------------         
       399.92210       0.0000000  -4.0000000e-06       1.2536020
       400.16320       0.0000000  -1.3000000e-05       1.2536280
       400.40420       0.0000000  -1.0000000e-05       1.2536440
       400.64530       0.0000000  -9.0000000e-06       1.2536650
       400.88640       0.0000000  -6.0000000e-06       1.2536760
       401.12740       0.0000000  -6.0000000e-06       1.2536950
       401.36850       0.0000000  -3.0000000e-06       1.2537070
       401.60960       0.0000000  -2.0000000e-06       1.2537180
       401.85060       0.0000000  -1.3000000e-05       1.2537310
       402.09170       0.0000000  -1.0000000e-05       1.2537590
       402.33270       0.0000000  -8.0000000e-06       1.2537690
       402.57380       0.0000000  -5.0000000e-06       1.2537900
       402.81490       0.0000000  -4.0000000e-06       1.2537990
       403.05590       0.0000000  -2.0000000e-06       1.2538190
       403.29700       0.0000000  -2.0000000e-06       1.2538290
       403.53810       0.0000000   2.0000000e-06       1.2538440
       403.77910       0.0000000  -8.0000000e-06       1.2538510
       404.02020       0.0000000  -7.0000000e-06       1.2538800
       404.26120       0.0000000  -5.0000000e-06       1.2538900
       404.50230       0.0000000  -2.0000000e-06       1.2539110
       404.74330       0.0000000  -1.0000000e-06       1.2539190
       404.98440       0.0000000   1.0000000e-06       1.2539340
       405.22550       0.0000000  -1.1000000e-05       1.2539440
       405.46660       0.0000000  -7.0000000e-06       1.2539740
       405.70760       0.0000000  -6.0000000e-06       1.2539810
       405.94870       0.0000000  -3.0000000e-06       1.2540050
       406.18970       0.0000000  -3.0000000e-06       1.2540120
       406.43080       0.0000000      -0.0000000       1.2540320
       406.67190       0.0000000  -9.0000000e-06       1.2540380
       406.91290       0.0000000  -7.0000000e-06       1.2540730
       407.15400       0.0000000   4.0000000e-06       1.2540750
       407.39510       0.0000000  -4.0000000e-06       1.2540910
       407.63610       0.0000000  -5.0000000e-06       1.2541080
       407.87720       0.0000000       0.0000000       1.2541240
       408.11820       0.0000000  -1.0000000e-05       1.2541370
       408.35930       0.0000000   3.0000000e-06       1.2541630
       408.60030       0.0000000  -6.0000000e-06       1.2541610
       408.84140       0.0000000  -5.0000000e-06       1.2541940
       409.08250       0.0000000  -4.0000000e-06       1.2541980
       409.32350       0.0000000  -2.0000000e-06       1.2542230
       409.56460       0.0000000  -1.0000000e-05       1.2542250
       409.80570       0.0000000  -1.0000000e-05       1.2542670
       410.04670       0.0000000   5.0000000e-06       1.2542660
       410.28780       0.0000000  -5.0000000e-06       1.2542860
       410.52890       0.0000000  -3.0000000e-06       1.2542980
       410.76990       0.0000000  -2.0000000e-06       1.2543220
       411.01100       0.0000000      -0.0000000       1.2543250
       411.25200       0.0000000  -8.0000000e-06       1.2543530
       411.49310       0.0000000   3.0000000e-06       1.2543630
       411.73420       0.0000000  -5.0000000e-06       1.2543780
       411.97520       0.0000000  -4.0000000e-06       1.2543960
       412.21630       0.0000000  -1.0000000e-06       1.2544110
       412.45730       0.0000000  -1.2000000e-05       1.2544230
       412.69840       0.0000000  -8.0000000e-06       1.2544580
       412.93950       0.0000000   3.0000000e-06       1.2544610
       413.18050       0.0000000  -5.0000000e-06       1.2544780
       413.42160       0.0000000  -4.0000000e-06       1.2544950
       413.66270       0.0000000  -1.0000000e-06       1.2545090
       413.90370       0.0000000  -1.3000000e-05       1.2545220
       414.14480       0.0000000  -8.0000000e-06       1.2545530
       414.38590       0.0000000  -7.0000000e-06       1.2545610
       414.62690       0.0000000  -6.0000000e-06       1.2545870
       414.86800       0.0000000  -4.0000000e-06       1.2545960
       415.10900       0.0000000  -1.0000000e-06       1.2546190
       415.35010       0.0000000  -2.0000000e-06       1.2546230
       415.59120       0.0000000  -8.0000000e-06       1.2546490
       415.83220       0.0000000  -6.0000000e-06       1.2546620
       416.07330       0.0000000  -5.0000000e-06       1.2546850
       416.31430       0.0000000  -4.0000000e-06       1.2546970
       416.55540       0.0000000  -1.0000000e-06       1.2547160
       416.79650       0.0000000  -1.1000000e-05       1.2547250
       417.03750       0.0000000  -8.0000000e-06       1.2547610
       417.27860       0.0000000   3.0000000e-06       1.2547650
       417.51970       0.0000000  -5.0000000e-06       1.2547830
       417.76070       0.0000000  -4.0000000e-06       1.2548000
       418.00180       0.0000000      -0.0000000       1.2548180
       418.24290       0.0000000  -1.1000000e-05       1.2548270
       418.48390       0.0000000  -9.0000000e-06       1.2548650
       418.72500       0.0000000   4.0000000e-06       1.2548700
       418.96600       0.0000000  -4.0000000e-06       1.2548870
       419.20710       0.0000000  -3.0000000e-06       1.2549050
       419.44820       0.0000000       0.0000000       1.2549250
       419.68920       0.0000000       0.0000000       1.2549370
       419.93030       0.0000000   2.0000000e-06       1.2549540
       420.17130       0.0000000  -8.0000000e-06       1.2549660
       420.41240       0.0000000  -5.0000000e-06       1.2549960
       420.65350       0.0000000  -2.0000000e-06       1.2550070
       420.89450       0.0000000  -1.0000000e-06       1.2550250
       421.13560       0.0000000  -9.0000000e-06       1.2550420
       421.37660       0.0000000   3.0000000e-06       1.2550670
       421.61770       0.0000000  -6.0000000e-06       1.2550710
       421.85880       0.0000000  -3.0000000e-06       1.2551050
       422.09990       0.0000000  -1.0000000e-06       1.2551100
       422.34090       0.0000000   1.0000000e-06       1.2551380
       422.58200       0.0000000   1.0000000e-06       1.2551400
