wavenumber,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
400.00,0.000039,0.000064,0.000092,0.000114,0.000108,0.000108,0.000092,0.000087,0.000096,0.000103,0.000106,0.000113,0.000135,0.000127,0.000151,0.000163,0.000174,0.000187
401.99,0.000040,0.000067,0.000096,0.000118,0.000113,0.000112,0.000094,0.000089,0.000099,0.000106,0.000109,0.000116,0.000139,0.000131,0.000155,0.000168,0.000179,0.000193
404.01,0.000043,0.000070,0.000100,0.000123,0.000117,0.000116,0.000097,0.000092,0.000102,0.000109,0.000113,0.000120,0.000143,0.000135,0.000160,0.000174,0.000185,0.000199
405.99,0.000045,0.000073,0.000105,0.000128,0.000122,0.000121,0.000101,0.000096,0.000106,0.000114,0.000117,0.000124,0.000149,0.000140,0.000166,0.000180,0.000192,0.000207
408.00,0.000047,0.000077,0.000110,0.000134,0.000127,0.000126,0.000105,0.000100,0.000110,0.000118,0.000122,0.000130,0.000155,0.000147,0.000173,0.000188,0.000200,0.000215
410.00,0.000049,0.000081,0.000115,0.000140,0.000133,0.000131,0.000110,0.000104,0.000115,0.000124,0.000128,0.000136,0.000162,0.000153,0.000181,0.000196,0.000209,0.000225
412.00,0.000052,0.000085,0.000121,0.000147,0.000139,0.000137,0.000115,0.000110,0.000121,0.000130,0.000134,0.000143,0.000170,0.000161,0.000190,0.000206,0.000219,0.000236
413.99,0.000054,0.000089,0.000127,0.000153,0.000145,0.000143,0.000121,0.000115,0.000127,0.000136,0.000142,0.000150,0.000178,0.000170,0.000200,0.000216,0.000230,0.000248
416.01,0.000057,0.000093,0.000133,0.000161,0.000152,0.000150,0.000126,0.000121,0.000133,0.000143,0.000149,0.000158,0.000188,0.000179,0.000210,0.000227,0.000242,0.000260
418.01,0.000060,0.000098,0.000140,0.000168,0.000159,0.000156,0.000133,0.000127,0.000140,0.000151,0.000157,0.000167,0.000197,0.000189,0.000221,0.000239,0.000254,0.000274
419.99,0.000063,0.000103,0.000146,0.000176,0.000166,0.000164,0.000140,0.000134,0.000148,0.000159,0.000167,0.000177,0.000208,0.000200,0.000233,0.000252,0.000268,0.000289
421.99,0.000066,0.000107,0.000153,0.000184,0.000174,0.000172,0.000147,0.000141,0.000156,0.000167,0.000176,0.000187,0.000219,0.000211,0.000245,0.000266,0.000283,0.000305
424.00,0.000069,0.000112,0.000160,0.000193,0.000182,0.000180,0.000154,0.000149,0.000164,0.000176,0.000186,0.000197,0.000231,0.000223,0.000258,0.000280,0.000298,0.000321
426.00,0.000072,0.000117,0.000167,0.000202,0.000190,0.000188,0.000163,0.000157,0.000173,0.000186,0.000197,0.000209,0.000244,0.000236,0.000273,0.000295,0.000314,0.000338
428.01,0.000075,0.000122,0.000175,0.000211,0.000199,0.000198,0.000171,0.000166,0.000183,0.000196,0.000208,0.000220,0.000257,0.000249,0.000287,0.000311,0.000331,0.000357
430.00,0.000077,0.000128,0.000182,0.000221,0.000209,0.000207,0.000180,0.000174,0.000192,0.000206,0.000219,0.000232,0.000271,0.000263,0.000303,0.000327,0.000349,0.000376
432.00,0.000080,0.000133,0.000190,0.000231,0.000219,0.000217,0.000189,0.000184,0.000203,0.000218,0.000231,0.000245,0.000285,0.000277,0.000319,0.000345,0.000368,0.000396
434.01,0.000083,0.000139,0.000198,0.000242,0.000229,0.000228,0.000199,0.000193,0.000213,0.000229,0.000243,0.000258,0.000300,0.000292,0.000335,0.000363,0.000387,0.000416
436.00,0.000086,0.000144,0.000207,0.000253,0.000240,0.000239,0.000209,0.000204,0.000224,0.000241,0.000256,0.000272,0.000316,0.000308,0.000353,0.000382,0.000407,0.000438
438.00,0.000089,0.000150,0.000215,0.000265,0.000252,0.000251,0.000220,0.000214,0.000236,0.000253,0.000270,0.000286,0.000332,0.000324,0.000371,0.000402,0.000428,0.000461
440.01,0.000092,0.000156,0.000224,0.000278,0.000265,0.000264,0.000232,0.000225,0.000248,0.000267,0.000284,0.000301,0.000349,0.000341,0.000391,0.000423,0.000450,0.000485
442.01,0.000095,0.000163,0.000234,0.000292,0.000278,0.000277,0.000244,0.000237,0.000261,0.000280,0.000299,0.000317,0.000368,0.000358,0.000411,0.000445,0.000474,0.000510
443.99,0.000099,0.000170,0.000244,0.000307,0.000292,0.000292,0.000256,0.000249,0.000275,0.000295,0.000314,0.000334,0.000387,0.000377,0.000432,0.000468,0.000499,0.000537
445.99,0.000102,0.000177,0.000255,0.000322,0.000308,0.000307,0.000270,0.000262,0.000289,0.000310,0.000330,0.000351,0.000407,0.000397,0.000455,0.000492,0.000525,0.000565
448.01,0.000105,0.000184,0.000266,0.000339,0.000324,0.000324,0.000284,0.000276,0.000304,0.000327,0.000348,0.000369,0.000428,0.000417,0.000479,0.000519,0.000552,0.000595
450.00,0.000108,0.000192,0.000277,0.000357,0.000342,0.000342,0.000300,0.000291,0.000321,0.000344,0.000366,0.000389,0.000451,0.000439,0.000505,0.000546,0.000582,0.000626
452.00,0.000112,0.000200,0.000289,0.000377,0.000361,0.000362,0.000316,0.000307,0.000338,0.000363,0.000386,0.000409,0.000476,0.000463,0.000532,0.000576,0.000614,0.000660
454.01,0.000115,0.000208,0.000302,0.000398,0.000382,0.000383,0.000334,0.000324,0.000357,0.000384,0.000407,0.000432,0.000503,0.000488,0.000562,0.000609,0.000648,0.000698
456.00,0.000118,0.000217,0.000315,0.000420,0.000405,0.000407,0.000354,0.000343,0.000378,0.000406,0.000430,0.000456,0.000532,0.000516,0.000595,0.000644,0.000685,0.000738
458.00,0.000121,0.000225,0.000328,0.000445,0.000430,0.000432,0.000376,0.000363,0.000400,0.000430,0.000455,0.000483,0.000564,0.000546,0.000630,0.000682,0.000727,0.000782
460.00,0.000124,0.000234,0.000342,0.000471,0.000457,0.000461,0.000400,0.000386,0.000425,0.000457,0.000482,0.000512,0.000599,0.000579,0.000670,0.000725,0.000772,0.000831
